.,Suitable Area m²,Suitable Area m131,Weight,Initial cost (AED),Annual cost (AED),Cost (AED) / kWh,Cost (AED) per weight,"Annually, Electricity produced (kWh)",Avoided Carbon Emissions (Annually) (Kg),Maintenance cost (%)
,27200,,0.009011848,8336386,239406,0.086868578,0.000782846,6594576,2660912,
,13600,,0.009011848,4168943,119703,0.086877676,0.000782928,3297288,1330456,
,12277,,0.009011848,3860059,110831,0.084071676,0.000757641,3154848,1272981,2.872341721
,9700,,0.009011848,2604595,74770,0.084194693,0.00075875,2125476,857630,2.872350029
,8300,,0.028190908,2514919,72194,0.08426565,0.002375525,2050548,827396,2.872342415
,6317.1,,0.028190908,2223419,77558,0.103965137,0.002930872,1601448,646184,3.49058629
,6000,,0.028190908,2148981,74959,0.104044298,0.002933103,1546632,624066,3.490554748
,5800,,0.028190908,1925665,67164,0.103485284,0.002917344,1393344,562214,3.490553045
,5600,,0.028190908,1820328,63487,0.108384241,0.00305545,1257564,507427,3.49054446
,4465,,0.028190908,1557686,54320,0.103748514,0.002924765,1124136,453589,3.490585316
,3915,,0.028190908,1480200,54219,0.120023999,0.003383586,945036,381322,3.666666667
,3170,,0.028190908,1208310,44250,0.120732986,0.003403573,766836,309418,3.666691526
,2660,,0.028190908,972990,35621,0.131740932,0.003713897,565812,228305,3.666635786
,2424,,0.028190908,899850,32940,0.119856869,0.003378874,575136,232940,3.666722324
,2389,,0.028190908,925290,33872,0.11987026,0.003379252,591336,238604,3.666634192
,2149,,0.028190908,790140,28917,0.121390921,0.00342212,498576,201175,3.666692027
,2140,,0.048127824,777420,28450,0.120483498,0.005798609,494232,199423,3.666615115
,1920,,0.048127824,734490,26876,0.120764746,0.005812144,465828,187962,3.666625738
,1885,,0.048127824,694740,25419,0.120235642,0.00578668,442536,178563,3.666695517
,1870,,0.048127824,682020,24952,0.126125969,0.006070168,414132,167102,
,1862,,0.048127824,677250,24778,0.120081493,0.005779261,431940,174288,3.666740659
,1800,,0.048127824,659760,24136,0.126788923,0.006102075,398508,,
,1745,,0.048127824,654990,23961,0.119809969,0.005766193,418668,168933,3.666620759
,1650,,0.048127824,670201,27110,0.164790215,0.007930994,327192,,4.054187547
,1490,,0.048127824,654513,26474,0.1638062,0.007883636,321444,,
,1450,,0.048127824,640786,25917,0.155556883,0.007486614,331380,133712,4.054054054
,1305,,0.048127824,583917,23612,0.155901245,0.007503188,301272,121563,4.054139903
,1300,,0.048127824,566268,22896,0.155282085,0.007473389,293316,118353,4.054054054
,1291,,0.048127824,550580,22260,0.185170689,0.008911862,239148,,4.054131085
.,,,0.023726481,515282,20829,0.156112141,0.003703992,265452,,
,1078,,0.023726481,476062,19239,0.155380806,0.00368664,246372,99411,4.054054054
,,,0.023726481,476062,19239,0.157903447,0.003746493,242436,,
,950,,0.023726481,407472,16475,0.156039346,0.003702265,210036,,
,1060,,0.023726481,332220,16112,0.194480605,0.00461434,151176,61000,4.871794872
,983,,0.023726481,409388,16536,0.155477702,0.003688939,211680,85413,4.054054054
,,,0.023726481,395661,15980,0.156660362,0.003716999,203028,,
,940,,0.072800753,376051,15185,0.179897158,0.013096649,168024,67798,4.054187547
,920,,0.072800753,385856,15582,0.155704016,0.01133537,199200,80377,4.054054054
,810,,0.072800753,305349,14803,0.188276746,0.013706689,143496,57901,4.871827783
,805,,0.153878093,361158,17522,0.181275631,0.027894348,176352,17522,4.87185048
,795,,0.153878093,340488,16515,0.180818692,0.027824036,166656,67246,4.871853871
,635,,0.153878093,301215,14601,0.180773301,0.027817051,147420,59484,4.871628047
,,,0.153878093,278478,13494,0.182192243,0.028035395,135204,,
,513,,0.056451524,228870,11077,0.180938327,0.010214244,111816,,
.,418,,0.056451524,197070,11210,0.209681954,0.011836866,91056,36741,5.73196298
,376.8,,0.038423918,162302,9217,0.220906176,0.008488081,71112,28694,5.731893882
,325,,0.038423918,144918,8220,0.210499189,0.008088204,66588,26868,5.731498138
,300,,0.038423918,138399,7847,0.209082615,0.008033773,64008,,
,280,,0.038423918,112323,6352,0.213903748,0.00821902,50700,20457,5.7316622
,250,,0.038423918,105804,5978,0.210814338,0.008100313,48432,19542,5.731323823
,,,0.038423918,94939,5356,0.216580541,0.008321873,42264,,
,230,,0.038423918,84074,4733,0.209327748,0.008043192,38676,16606,5.731828421
,223,,0.123625906,73209,4110,0.210452099,0.026017331,33444,13412,5.731498138
,218,,0.123625906,68863,3861,0.210176643,0.025983278,31476,12701,5.731633092
,200,,0.123625906,75382,4235,0.292161509,0.036118731,24816,,
,145,,0.123625906,47133,2616,0.212526912,0.026273832,21180,8546,5.732693446
,123,,0.123625906,43397,2478,0.244708479,0.030252307,17220,,
,90,,0.065742335,40932,2332,0.254050179,0.016701852,15624,6304,5.913978495
.,65,,0.065742335,28610,1603,0.250766703,0.016485989,10956,4421,5.912947252
,60,,0.065742335,23680,1312,0.288752556,0.018983267,7824,3157,5.915238954
,60,,0.065742335,21216,1166,0.294022183,0.019329705,6852,3065,5.913978495
,50,,0.064369034,18752,1020,0.301034014,0.019377269,5880,2373,
,45,,0.064369034,16287,875,0.284578673,0.018318054,5364,2164,5.917359843
,43,,0.064369034,13823,729,0.452655367,0.029136989,2832,1143,5.915767264
,40,,0.064369034,13823,729,0.318885572,0.020526356,4020,1917,5.915767264
,35,,0.064369034,11358,583,0.327436869,0.021076795,3168,,
,32,,0.064369034,8894,437,0.326104484,0.020991031,2431,1167,5.910197457
,20,,0.175408227,6429,292,0.346691919,0.060812615,1584,,
,6,,0.175408227,3965,146,0.396614583,0.069569461,768,310,5.922920892
,,,1,,,,,,,
